ImpressionID,CampaignName,AdvertiserName,PublisherName,AdFormat,DeviceType,EventTime,EventType,Revenue,Cost,PixelFired,CreativeID
SIMP2000108,Prospect_Camp,Marketify,FashionMag,banner,Desktop,2023-12-29 16:22:54.248179,click,27.16,0.4332,N,CR6157
SIMP2000109,Video_Boost,Globex,FashionMag,native,Tablet,2024-06-19 07:24:40.248179,impression,0.0,0.9266,N,CR5838
SIMP2000110,NewLaunch,Adverto,TechForum,banner,Mobile,2023-11-28 09:45:03.248179,click,37.85,1.1427,N,CR3093
SIMP2000111,Retargeting,OmniAds,CookingBlog,richmedia,Tablet,2024-11-17 14:38:04.248179,impression,0.0,0.7133,Y,CR4408
SIMP2000112,Prospect_Camp,Marketify,FashionMag,interstitial,Desktop,2024-04-26 04:48:43.248179,impression,0.0,0.5399,Y,CR3236
SIMP2000113,NewLaunch,Acme Corp,TechForum,native,Mobile,2025-06-09 11:58:54.248179,impression,0.0,0.69,Y,CR3577
SIMP2000114,Prospect_Camp,OmniAds,CookingBlog,banner,Tablet,2023-12-29 13:04:01.248179,click,27.59,0.7053,N,CR6699
SIMP2000115,Prospect_Camp,Marketify,CookingBlog,interstitial,Mobile,2024-10-19 21:45:59.248179,impression,0.0,1.0169,Y,CR8090
SIMP2000116,Prospect_Camp,Marketify,SportsDaily,interstitial,Tablet,2023-12-22 20:32:59.248179,impression,0.0,0.4731,Y,CR2633
SIMP2000117,AppInstall,Marketify,SportsDaily,interstitial,Mobile,2024-04-24 12:59:06.248179,impression,0.0,0.646,Y,CR2482
SIMP2000118,Retargeting,Acme Corp,NewsToday,native,Desktop,2024-07-20 09:59:46.248179,impression,0.0,0.394,N,CR5347
SIMP2000119,Retargeting,Acme Corp,CookingBlog,video,Desktop,2024-02-27 14:22:40.248179,impression,0.0,0.2996,Y,CR8975
SIMP2000120,NewLaunch,BlueSky,FashionMag,banner,Desktop,2025-08-31 01:51:19.248179,impression,0.0,0.8606,Y,CR6267
SIMP2000121,Prospect_Camp,Innotech,TechForum,richmedia,Desktop,2025-08-27 18:33:21.248179,impression,0.0,0.0855,N,CR8676
SIMP2000122,AppInstall,Acme Corp,TechForum,native,Mobile,2024-10-24 01:42:01.248179,impression,0.0,1.4665,N,CR3643
SIMP2000123,Summer_Sale,Acme Corp,FashionMag,banner,Mobile,2024-06-21 20:47:06.248179,impression,0.0,1.9789,N,CR6166
SIMP2000124,Holiday Promo ,BlueSky,TechForum,richmedia,Tablet,2025-07-22 22:33:47.248179,impression,0.0,1.366,Y,CR8664
SIMP2000125,Holiday Promo ,OmniAds,SportsDaily,interstitial,Tablet,2025-05-14 16:04:37.248179,impression,0.0,0.2639,Y,CR9356
SIMP2000126,Prospect_Camp,Adverto,CookingBlog,interstitial,Desktop,2025-09-06 12:17:24.248179,impression,0.0,1.5305,N,CR1374
SIMP2000127,Holiday Promo,BlueSky,NewsToday,native,Mobile,2024-05-31 07:38:44.248179,impression,0.0,0.7835,Y,CR7649
SIMP2000128,Prospect_Camp,Innotech,NewsToday,banner,Desktop,2024-12-27 01:45:35.248179,impression,0.0,0.9671,Y,CR8313
SIMP2000129,Retargeting ,Acme Corp,MovieHub,richmedia,Desktop,2025-06-11 08:24:51.248179,impression,0.0,1.1056,N,CR1899
SIMP2000130,Prospect_Camp ,BlueSky,SportsDaily,interstitial,Desktop,2024-06-23 14:53:21.248179,conversion,36.69,1.9954,N,CR8210
SIMP2000131,Holiday Promo,Marketify,FashionMag,video,Desktop,2023-12-31 11:34:28.248179,impression,0.0,0.7548,N,CR7632
SIMP2000132,Summer_Sale,Marketify,MovieHub,banner,Desktop,2024-05-16 09:32:44.248179,impression,0.0,0.2307,Y,CR6016
SIMP2000133,Prospect_Camp ,Globex,FashionMag,interstitial,Mobile,2024-09-02 04:11:14.248179,click,31.28,1.2097,N,CR1405
SIMP2000134,Retargeting,OmniAds,CookingBlog,richmedia,Tablet,2024-05-17 17:21:57.248179,click,44.29,1.3813,Y,CR2178
SIMP2000135,AppInstall,Marketify,NewsToday,richmedia,Tablet,2025-04-18 09:25:34.248179,impression,0.0,1.0387,Y,CR1712
SIMP2000136,Summer_Sale,Acme Corp,FashionMag,video,Mobile,2024-09-29 18:34:33.248179,impression,0.0,0.1771,N,CR1944
SIMP2000137,NewLaunch,Marketify,MovieHub,native,Desktop,2024-12-11 03:05:55.248179,impression,0.0,1.67,N,CR7678
SIMP2000138,Video_Boost ,Innotech,SportsDaily,richmedia,Tablet,2024-04-29 03:47:40.248179,click,9.99,0.3774,N,CR6554
SIMP2000139,Prospect_Camp,Innotech,CookingBlog,native,Mobile,2025-06-04 18:44:00.248179,impression,0.0,0.8952,N,CR9904
SIMP2000140,NewLaunch,Adverto,FashionMag,banner,Tablet,2025-10-02 07:33:12.248179,impression,0.0,1.7357,N,CR9311
SIMP2000141,Prospect_Camp,Innotech,TechForum,richmedia,Mobile,2024-09-06 19:40:39.248179,click,31.88,0.0244,N,CR6942
SIMP2000142,Video_Boost,Globex,FashionMag,richmedia,Desktop,2025-06-08 01:09:13.248179,impression,0.0,0.444,Y,CR4716
SIMP2000143,BrandAwareness,Acme Corp,TechForum,banner,Mobile,2025-09-17 20:14:08.248179,impression,0.0,1.4688,Y,CR3728
SIMP2000144,AppInstall,BlueSky,FashionMag,video,Mobile,2025-03-20 00:16:37.248179,impression,0.0,1.3981,Y,CR7114
SIMP2000145,Prospect_Camp,Adverto,FashionMag,interstitial,Tablet,2024-06-04 00:31:49.248179,impression,0.0,1.3653,N,CR6471
SIMP2000146,Summer_Sale,Innotech,SportsDaily,richmedia,Desktop,2024-04-07 02:45:20.248179,click,21.37,1.8938,Y,CR9516
SIMP2000147,Holiday Promo,Adverto,NewsToday,video,Tablet,2023-11-06 11:12:36.248179,impression,0.0,0.5582,Y,CR8664
SIMP2000148,NewLaunch,Innotech,MovieHub,richmedia,Tablet,2024-02-24 23:21:06.248179,impression,0.0,1.2431,Y,CR6292
SIMP2000149,Summer_Sale,Globex,MovieHub,video,Mobile,2025-10-06 01:14:03.248179,click,34.28,1.6078,Y,CR3192
SIMP2000150,NewLaunch,Acme Corp,MovieHub,richmedia,Mobile,2024-03-06 17:00:47.248179,click,47.17,0.6095,N,CR6664
SIMP2000151,Video_Boost,Adverto,CookingBlog,video,Mobile,2024-09-19 19:12:57.248179,impression,0.0,1.903,Y,CR7630
SIMP2000152,Prospect_Camp,Globex,TechForum,native,Desktop,2025-03-31 09:34:59.248179,conversion,17.65,0.7124,Y,CR4399
SIMP2000153,BrandAwareness,Marketify,MovieHub,video,Desktop,2024-05-30 10:57:16.248179,click,16.78,0.9706,N,CR6670
SIMP2000154,AppInstall,Globex,FashionMag,native,Tablet,2024-12-26 19:17:05.248179,impression,0.0,0.0295,N,CR8251
SIMP2000155,Holiday Promo,Marketify,CookingBlog,banner,Tablet,2024-06-04 02:19:01.248179,impression,0.0,1.5494,Y,CR7243
SIMP2000156,Holiday Promo,Innotech,CookingBlog,richmedia,Desktop,2024-11-27 22:10:57.248179,impression,0.0,1.8459,N,CR6842
SIMP2000157,Prospect_Camp,OmniAds,NewsToday,interstitial,Mobile,2024-08-23 08:55:05.248179,impression,0.0,1.9447,Y,CR4472
SIMP2000158,Prospect_Camp,Innotech,MovieHub,banner,Desktop,2024-10-29 09:26:53.248179,impression,0.0,0.6356,N,CR9071
SIMP2000159,BrandAwareness,Marketify,NewsToday,video,Desktop,2024-11-04 07:06:04.248179,impression,0.0,1.5488,N,CR6056
SIMP2000160,NewLaunch,Adverto,MovieHub,interstitial,Desktop,2024-12-02 18:11:15.248179,click,38.55,1.2237,N,CR6775
SIMP2000161,Prospect_Camp,BlueSky,NewsToday,interstitial,Desktop,2025-07-03 12:42:14.248179,impression,0.0,0.2872,Y,CR9944
SIMP2000162,Summer_Sale ,OmniAds,MovieHub,richmedia,Mobile,2025-08-05 16:58:47.248179,click,3.85,1.0739,Y,CR9415
SIMP2000163,Video_Boost ,Marketify,NewsToday,native,Desktop,2024-11-15 10:36:00.248179,impression,0.0,0.9359,Y,CR3009
SIMP2000164,AppInstall,Globex,CookingBlog,interstitial,Tablet,2025-07-09 21:06:33.248179,impression,0.0,0.2408,N,CR4089
SIMP2000165,NewLaunch,Innotech,FashionMag,richmedia,Tablet,2025-02-28 21:18:11.248179,impression,0.0,0.2737,Y,CR9810
SIMP2000166,Prospect_Camp,Marketify,NewsToday,native,Tablet,2024-07-20 15:31:44.248179,click,43.85,0.2721,Y,CR1749
SIMP2000167,Holiday Promo,BlueSky,NewsToday,native,Desktop,2025-03-13 09:58:37.248179,conversion,26.6,0.591,N,CR1894
SIMP2000168,NewLaunch,Innotech,NewsToday,video,Mobile,2024-01-21 03:46:23.248179,impression,0.0,1.1103,N,CR2344
SIMP2000169,NewLaunch,OmniAds,NewsToday,richmedia,Desktop,2025-07-05 15:02:52.248179,impression,0.0,0.9902,N,CR1730
SIMP2000170,Holiday Promo,BlueSky,MovieHub,native,Desktop,2024-09-07 17:20:19.248179,click,23.97,1.3575,N,CR4080
SIMP2000171,Video_Boost,Adverto,CookingBlog,native,Tablet,2024-07-28 11:19:46.248179,click,38.71,1.4915,Y,CR8574
SIMP2000172,Summer_Sale,Marketify,FashionMag,video,Tablet,2025-04-17 06:50:38.248179,impression,0.0,0.5817,N,CR3428
SIMP2000173,Video_Boost,OmniAds,FashionMag,video,Mobile,2025-09-05 22:09:18.248179,impression,0.0,1.118,N,CR2909
SIMP2000174,Holiday Promo,Adverto,MovieHub,video,Desktop,2025-07-15 00:11:12.248179,click,21.4,1.2551,Y,CR9074
SIMP2000175,NewLaunch,BlueSky,MovieHub,interstitial,Tablet,2023-12-14 10:48:19.248179,impression,0.0,0.877,N,CR9027
SIMP2000176,Summer_Sale,Acme Corp,TechForum,richmedia,Mobile,2023-11-14 06:07:23.248179,click,25.89,0.7328,N,CR7271
SIMP2000177,Retargeting,BlueSky,TechForum,banner,Tablet,2024-02-26 01:07:05.248179,click,45.46,1.1115,N,CR5666
SIMP2000178,AppInstall ,OmniAds,NewsToday,video,Tablet,2023-12-15 16:00:47.248179,impression,0.0,0.6707,Y,CR5020
SIMP2000179,AppInstall,Globex,FashionMag,richmedia,Mobile,2024-02-17 02:33:29.248179,impression,0.0,0.5979,Y,CR8213
SIMP2000180,NewLaunch,OmniAds,TechForum,native,Mobile,2025-03-06 05:36:23.248179,impression,0.0,1.1215,N,CR6147
SIMP2000181,Retargeting,Marketify,MovieHub,richmedia,Mobile,2023-11-10 10:36:21.248179,impression,0.0,1.9346,N,CR4274
SIMP2000182,NewLaunch,OmniAds,TechForum,richmedia,Mobile,2025-05-15 17:46:02.248179,conversion,28.88,1.0806,Y,CR7723
SIMP2000183,BrandAwareness,BlueSky,NewsToday,video,Desktop,2024-06-04 13:15:38.248179,impression,0.0,0.0743,N,CR1105
SIMP2000184,NewLaunch,Adverto,FashionMag,richmedia,Desktop,2023-12-23 04:15:36.248179,conversion,40.78,1.9121,Y,CR1552
SIMP2000185,Summer_Sale,BlueSky,NewsToday,richmedia,Tablet,2024-08-24 17:22:42.248179,impression,0.0,1.9787,N,CR4253
SIMP2000186,Summer_Sale,Innotech,NewsToday,richmedia,Mobile,2025-06-07 15:37:07.248179,impression,0.0,1.7655,N,CR6213
SIMP2000187,NewLaunch,Adverto,SportsDaily,video,Tablet,2025-04-01 08:02:12.248179,click,29.7,0.6657,Y,CR7859
SIMP2000188,Prospect_Camp,Adverto,MovieHub,richmedia,Tablet,2024-03-15 01:07:03.248179,impression,0.0,1.2297,N,CR3412
SIMP2000189,NewLaunch,Globex,TechForum,native,Tablet,2025-05-31 01:45:14.248179,impression,0.0,1.9813,Y,CR6023
SIMP2000190,Retargeting,OmniAds,TechForum,richmedia,Tablet,2025-06-19 00:51:51.248179,impression,0.0,0.9589,N,CR5542
SIMP2000191,NewLaunch,Adverto,FashionMag,native,Mobile,2024-05-12 19:02:20.248179,impression,0.0,1.108,Y,CR6954
SIMP2000192,BrandAwareness ,Innotech,NewsToday,richmedia,Mobile,2024-07-15 08:00:10.248179,impression,0.0,0.6895,N,CR7257
SIMP2000193,Prospect_Camp,Globex,SportsDaily,richmedia,Tablet,2025-04-24 03:28:04.248179,impression,0.0,1.3069,N,CR8939
SIMP2000194,Prospect_Camp,Globex,CookingBlog,richmedia,Mobile,2023-12-24 12:07:06.248179,click,9.69,1.4518,Y,CR7349
